food_item,calories,proteins,carbohydrates,fats,fibers,sugars,category,sodium,cholesterol,meal_type,water_intake,source_file
Banana,500,33.9,75.8,47.0,7.8,19.4,Fruits,358,148.0,Lunch,471.0,Food_2.csv
Oats,387,31.2,6.8,39.5,5.1,0.7,Grains,300,244.0,Dinner,727.0,Food_2.csv
Carrot,138,28.2,12.4,20.2,2.8,37.8,Vegetables,933,15.0,Dinner,733.0,Food_2.csv
Cookies,69,36.8,17.8,15.0,9.6,36.4,Snacks,185,228.0,Snack,386.0,Food_2.csv
Apple,568,6.7,7.0,23.4,6.4,46.9,Fruits,336,129.0,Breakfast,931.0,Food_2.csv
Quinoa,204,19.3,62.7,31.8,6.8,40.3,Grains,887,135.0,Snack,662.0,Food_2.csv
Oats,108,40.6,13.9,12.2,9.3,44.7,Grains,530,194.0,Lunch,624.0,Food_2.csv
Tomato,117,34.4,21.0,10.1,9.1,18.5,Vegetables,66,180.0,Dinner,799.0,Food_2.csv
Orange Juice,147,20.1,32.7,8.9,7.0,42.4,Beverages,500,250.0,Snack,661.0,Food_2.csv
Cookies,468,23.7,89.2,3.1,6.3,31.3,Snacks,342,225.0,Lunch,607.0,Food_2.csv
Beef Steak,157,27.5,32.4,9.4,0.5,24.6,Meat,180,68.0,Lunch,724.0,Food_2.csv
Pork Chop,385,15.8,36.5,33.1,2.1,27.6,Meat,134,88.0,Lunch,421.0,Food_2.csv
Oats,297,36.3,76.4,24.9,2.9,37.6,Grains,269,66.0,Lunch,338.0,Food_2.csv
Grapes,274,42.4,54.5,45.2,8.2,20.3,Fruits,507,76.0,Breakfast,463.0,Food_2.csv
Milkshake,353,24.0,96.2,6.8,0.9,17.5,Beverages,305,17.0,Lunch,618.0,Food_2.csv
Eggs,569,4.3,23.2,31.9,9.5,28.2,Meat,373,17.0,Breakfast,416.0,Food_2.csv
Pasta,217,28.1,8.3,38.9,3.7,43.2,Grains,653,176.0,Dinner,224.0,Food_2.csv
Oats,492,32.8,45.9,27.5,7.5,5.1,Grains,435,70.0,Breakfast,255.0,Food_2.csv
Orange,222,21.1,85.0,45.1,1.7,46.8,Fruits,422,260.0,Snack,876.0,Food_2.csv
Pasta,335,38.0,64.7,39.1,9.5,2.1,Grains,322,139.0,Snack,786.0,Food_2.csv
Nuts,552,25.9,27.4,39.2,1.5,47.3,Snacks,338,292.0,Breakfast,751.0,Food_2.csv
Cheese,252,18.0,24.9,31.0,8.2,43.6,Dairy,744,110.0,Breakfast,244.0,Food_2.csv
Strawberry,141,19.0,93.3,11.8,5.7,20.0,Fruits,970,263.0,Lunch,967.0,Food_2.csv
Oats,336,43.1,56.8,21.9,9.4,18.1,Grains,452,262.0,Lunch,791.0,Food_2.csv
Butter,315,37.8,25.5,15.6,1.2,1.0,Dairy,555,119.0,Breakfast,863.0,Food_2.csv
Orange Juice,553,44.1,25.7,21.9,4.5,36.7,Beverages,888,171.0,Dinner,455.0,Food_2.csv
Quinoa,496,18.1,24.9,16.5,0.2,13.0,Grains,346,57.0,Breakfast,452.0,Food_2.csv
Rice,142,14.6,21.9,41.4,2.7,46.5,Grains,947,48.0,Lunch,868.0,Food_2.csv
Oats,71,4.0,62.8,42.7,1.7,31.2,Grains,87,109.0,Breakfast,248.0,Food_2.csv
Strawberry,595,32.5,23.8,35.1,9.3,32.0,Fruits,389,278.0,Dinner,942.0,Food_2.csv
Orange,165,7.7,35.0,44.2,5.3,8.7,Fruits,21,154.0,Dinner,685.0,Food_2.csv
Yogurt,568,27.5,63.4,25.4,1.6,9.5,Dairy,360,20.0,Snack,927.0,Food_2.csv
Butter,437,41.2,71.7,6.0,7.8,14.8,Dairy,893,8.0,Snack,665.0,Food_2.csv
Quinoa,195,45.0,40.9,31.6,8.8,0.8,Grains,372,184.0,Breakfast,823.0,Food_2.csv
Beef Steak,71,33.4,70.0,27.3,6.6,44.3,Meat,864,31.0,Snack,846.0,Food_2.csv
Apple,271,13.7,89.5,33.8,8.0,3.9,Fruits,509,289.0,Snack,728.0,Food_2.csv
Cheese,353,34.1,87.5,47.0,3.3,17.0,Dairy,172,194.0,Snack,786.0,Food_2.csv
Broccoli,219,32.6,49.5,30.3,9.4,23.5,Vegetables,771,138.0,Dinner,663.0,Food_2.csv
Water,171,47.4,80.3,10.1,9.0,44.3,Beverages,525,264.0,Breakfast,985.0,Food_2.csv
Beef Steak,539,43.1,35.6,15.6,0.2,33.1,Meat,496,82.0,Lunch,506.0,Food_2.csv
Beef Steak,86,48.7,52.9,9.3,5.9,5.2,Meat,888,216.0,Snack,876.0,Food_2.csv
Paneer,173,22.1,59.4,30.1,5.2,12.4,Dairy,424,10.0,Snack,986.0,Food_2.csv
Cheese,359,31.6,30.8,13.3,3.1,18.3,Dairy,880,236.0,Lunch,643.0,Food_2.csv
Salmon,508,5.3,70.4,40.3,6.1,47.2,Meat,423,230.0,Snack,470.0,Food_2.csv
Grapes,294,21.6,97.9,23.5,8.1,45.5,Fruits,934,4.0,Breakfast,624.0,Food_2.csv
Yogurt,315,4.7,23.6,7.5,9.2,4.8,Dairy,971,277.0,Dinner,989.0,Food_2.csv
Nuts,191,28.8,39.6,40.3,6.5,23.9,Snacks,842,282.0,Dinner,903.0,Food_2.csv
Apple,485,49.2,81.2,5.8,3.7,44.1,Fruits,343,123.0,Lunch,573.0,Food_2.csv
Milk,282,30.3,69.7,21.5,5.4,39.9,Dairy,731,263.0,Dinner,491.0,Food_2.csv
Salmon,281,19.6,61.0,29.7,2.7,4.1,Meat,871,289.0,Snack,272.0,Food_2.csv
Quinoa,233,39.6,53.4,44.6,8.7,38.4,Grains,433,247.0,Lunch,929.0,Food_2.csv
Beef Steak,184,19.0,39.9,1.1,0.8,39.1,Meat,762,102.0,Dinner,642.0,Food_2.csv
Pork Chop,449,44.3,76.2,39.8,5.5,5.1,Meat,828,231.0,Snack,168.0,Food_2.csv
Chicken Breast,547,20.3,33.9,44.9,7.6,28.5,Meat,587,151.0,Snack,232.0,Food_2.csv
Chicken Breast,285,13.9,46.2,31.8,8.8,28.8,Meat,764,103.0,Dinner,257.0,Food_2.csv
Banana,244,2.6,93.3,22.2,3.6,40.0,Fruits,675,268.0,Breakfast,831.0,Food_2.csv
Coffee,484,29.7,70.2,37.9,8.6,32.7,Beverages,569,176.0,Lunch,269.0,Food_2.csv
Chicken Breast,592,34.7,55.6,21.1,2.9,35.3,Meat,561,116.0,Snack,859.0,Food_2.csv
Orange,57,8.4,65.5,35.9,8.4,49.3,Fruits,973,67.0,Dinner,845.0,Food_2.csv
Eggs,434,47.5,34.2,25.5,6.0,15.9,Meat,247,11.0,Dinner,522.0,Food_2.csv
Broccoli,527,16.1,76.4,34.7,4.5,22.0,Vegetables,360,61.0,Breakfast,727.0,Food_2.csv
Butter,538,36.3,17.8,29.8,2.0,42.9,Dairy,39,18.0,Dinner,818.0,Food_2.csv
Coffee,276,20.7,97.9,27.3,4.7,4.8,Beverages,168,142.0,Dinner,202.0,Food_2.csv
Apple,558,12.3,55.4,26.1,4.1,4.8,Fruits,38,147.0,Dinner,750.0,Food_2.csv
Strawberry,308,42.1,25.7,3.1,7.8,18.6,Fruits,355,233.0,Snack,510.0,Food_2.csv
Grapes,56,41.9,77.4,29.2,1.2,17.0,Fruits,552,30.0,Breakfast,937.0,Food_2.csv
Pork Chop,565,4.8,45.9,45.1,7.9,17.1,Meat,213,122.0,Lunch,971.0,Food_2.csv
Cheese,91,11.1,76.6,38.8,8.6,12.7,Dairy,88,35.0,Dinner,736.0,Food_2.csv
Spinach,282,12.0,54.0,6.6,2.2,29.4,Vegetables,198,81.0,Lunch,332.0,Food_2.csv
Pasta,563,46.0,19.4,34.3,6.6,23.2,Grains,570,235.0,Lunch,265.0,Food_2.csv
Cookies,566,45.4,8.8,44.5,4.8,28.2,Snacks,527,166.0,Lunch,655.0,Food_2.csv
Carrot,315,9.1,67.7,39.1,3.8,20.8,Vegetables,612,227.0,Snack,828.0,Food_2.csv
Butter,216,11.5,24.5,2.6,9.3,1.7,Dairy,369,85.0,Lunch,143.0,Food_2.csv
Orange,589,48.4,67.0,24.3,5.9,9.5,Fruits,159,131.0,Snack,653.0,Food_2.csv
Orange,381,49.6,7.8,37.7,4.9,1.5,Fruits,85,185.0,Lunch,899.0,Food_2.csv
Potato,161,30.4,72.8,31.4,7.3,38.4,Vegetables,934,62.0,Snack,569.0,Food_2.csv
Chicken Breast,57,22.3,10.4,14.3,10.0,11.1,Meat,935,75.0,Lunch,320.0,Food_2.csv
Oats,499,36.6,74.4,34.6,8.8,18.0,Grains,976,140.0,Snack,487.0,Food_2.csv
Orange Juice,412,41.9,5.5,14.4,4.5,27.4,Beverages,816,8.0,Dinner,179.0,Food_2.csv
Coffee,575,38.4,94.0,1.1,4.7,45.4,Beverages,343,72.0,Dinner,323.0,Food_2.csv
Cookies,362,47.2,47.7,23.9,1.7,17.2,Snacks,174,211.0,Snack,130.0,Food_2.csv
Strawberry,492,34.3,27.1,16.6,8.4,45.6,Fruits,950,297.0,Lunch,593.0,Food_2.csv
Pasta,470,16.2,51.4,24.2,6.1,31.0,Grains,865,144.0,Snack,912.0,Food_2.csv
Butter,509,45.5,72.6,40.7,9.2,39.5,Dairy,311,115.0,Lunch,734.0,Food_2.csv
Banana,296,6.8,20.6,11.5,1.2,39.8,Fruits,107,250.0,Lunch,709.0,Food_2.csv
Water,181,6.6,12.9,45.2,2.1,33.0,Beverages,98,86.0,Snack,234.0,Food_2.csv
Orange,572,40.1,49.7,14.9,2.6,40.3,Fruits,208,176.0,Breakfast,955.0,Food_2.csv
Milkshake,507,48.2,79.6,15.5,9.5,8.5,Beverages,530,293.0,Lunch,306.0,Food_2.csv
Grapes,346,36.7,47.9,34.7,4.0,34.9,Fruits,107,288.0,Dinner,639.0,Food_2.csv
Potato,537,44.4,28.2,17.5,7.0,30.7,Vegetables,597,99.0,Dinner,122.0,Food_2.csv
Green Tea,425,23.1,30.9,9.2,8.2,36.4,Beverages,201,145.0,Lunch,101.0,Food_2.csv
Nuts,560,36.1,15.1,12.3,8.0,28.1,Snacks,530,18.0,Dinner,853.0,Food_2.csv
Milkshake,148,39.3,67.7,18.2,4.0,42.6,Beverages,469,230.0,Dinner,935.0,Food_2.csv
Nuts,322,36.0,56.7,21.1,0.9,31.1,Snacks,645,236.0,Lunch,362.0,Food_2.csv
Cookies,240,21.4,78.0,14.2,9.0,1.1,Snacks,17,243.0,Breakfast,327.0,Food_2.csv
Yogurt,144,45.2,42.2,1.5,8.3,41.1,Dairy,122,298.0,Dinner,859.0,Food_2.csv
Chicken Breast,450,18.1,14.7,25.8,9.7,6.7,Meat,761,276.0,Dinner,539.0,Food_2.csv
Bread,467,4.5,95.5,49.5,8.9,28.9,Grains,577,273.0,Dinner,891.0,Food_2.csv
Nuts,309,22.2,7.9,35.6,9.7,41.2,Snacks,38,271.0,Dinner,468.0,Food_2.csv
Coffee,594,15.2,21.0,2.0,4.1,39.2,Beverages,800,270.0,Lunch,841.0,Food_2.csv
Rice,527,35.9,52.3,35.1,2.7,34.0,Grains,783,240.0,Snack,646.0,Food_2.csv
Bread,304,18.6,75.8,49.8,3.6,10.8,Grains,817,114.0,Snack,927.0,Food_2.csv
Milk,235,12.4,83.2,47.4,6.6,33.0,Dairy,468,37.0,Lunch,383.0,Food_2.csv
Milk,176,36.5,70.7,14.9,3.0,41.7,Dairy,370,23.0,Dinner,589.0,Food_2.csv
Carrot,484,13.6,69.1,30.8,3.6,10.5,Vegetables,373,300.0,Dinner,888.0,Food_2.csv
Butter,131,34.6,12.5,17.0,3.8,31.7,Dairy,704,174.0,Dinner,667.0,Food_2.csv
Strawberry,543,29.7,67.8,7.0,3.6,14.7,Fruits,835,152.0,Dinner,423.0,Food_2.csv
Beef Steak,89,2.4,11.3,18.7,9.4,10.4,Meat,885,102.0,Snack,774.0,Food_2.csv
Pork Chop,359,10.8,54.5,8.7,4.3,46.7,Meat,712,246.0,Dinner,775.0,Food_2.csv
Beef Steak,342,18.9,9.8,5.0,4.0,22.9,Meat,907,109.0,Snack,275.0,Food_2.csv
Bread,50,18.4,11.1,29.6,2.8,22.1,Grains,446,260.0,Breakfast,189.0,Food_2.csv
Salmon,403,47.1,45.8,38.6,0.7,23.3,Meat,259,279.0,Dinner,694.0,Food_2.csv
Cheese,267,43.6,16.8,17.4,5.3,8.5,Dairy,266,140.0,Breakfast,979.0,Food_2.csv
Beef Steak,537,50.0,96.3,23.6,5.4,42.6,Meat,142,63.0,Dinner,831.0,Food_2.csv
Potato,519,14.5,38.5,20.7,1.0,18.4,Vegetables,889,215.0,Lunch,273.0,Food_2.csv
Salmon,168,34.5,57.5,9.2,4.2,43.7,Meat,108,179.0,Lunch,826.0,Food_2.csv
Coffee,122,17.1,70.4,21.0,6.4,5.8,Beverages,196,189.0,Lunch,865.0,Food_2.csv
Chocolate,153,46.7,91.0,45.0,7.0,49.7,Snacks,494,38.0,Lunch,751.0,Food_2.csv
Carrot,263,33.4,9.3,17.1,7.8,25.4,Vegetables,17,93.0,Dinner,755.0,Food_2.csv
Spinach,253,11.5,43.5,21.7,6.3,45.4,Vegetables,335,183.0,Breakfast,214.0,Food_2.csv
Carrot,488,4.6,68.8,47.2,7.1,26.1,Vegetables,85,240.0,Lunch,567.0,Food_2.csv
Potato,565,48.7,54.6,2.9,0.4,7.0,Vegetables,388,96.0,Snack,169.0,Food_2.csv
Grapes,179,1.4,47.7,20.3,4.8,27.0,Fruits,595,292.0,Lunch,209.0,Food_2.csv
Cheese,213,17.3,35.9,7.1,4.1,43.6,Dairy,12,53.0,Breakfast,247.0,Food_2.csv
Broccoli,355,44.5,70.5,37.4,8.3,27.1,Vegetables,36,295.0,Snack,689.0,Food_2.csv
Nuts,178,28.0,64.6,35.4,8.3,35.3,Snacks,672,230.0,Dinner,518.0,Food_2.csv
Bread,530,36.3,58.0,32.3,8.4,21.7,Grains,93,49.0,Breakfast,288.0,Food_2.csv
Water,417,7.7,97.6,39.2,8.8,5.7,Beverages,292,220.0,Dinner,193.0,Food_2.csv
Chips,365,29.1,67.1,28.2,4.8,41.3,Snacks,810,4.0,Dinner,652.0,Food_2.csv
Banana,140,19.1,38.6,30.2,7.1,12.6,Fruits,766,245.0,Dinner,996.0,Food_2.csv
Chocolate,106,38.9,16.9,33.7,3.4,32.7,Snacks,589,280.0,Dinner,718.0,Food_2.csv
Cheese,410,23.9,51.4,16.1,2.2,14.5,Dairy,783,215.0,Lunch,817.0,Food_2.csv
Paneer,223,30.1,20.9,15.6,6.7,18.0,Dairy,896,198.0,Dinner,996.0,Food_2.csv
Cheese,160,41.1,34.7,14.7,4.6,8.6,Dairy,341,249.0,Breakfast,931.0,Food_2.csv
Green Tea,224,22.3,28.7,10.1,3.8,25.7,Beverages,656,229.0,Snack,350.0,Food_2.csv
Chocolate,336,40.8,71.1,46.9,3.5,37.1,Snacks,646,43.0,Breakfast,405.0,Food_2.csv
Broccoli,343,41.8,62.8,19.3,4.2,33.0,Vegetables,666,266.0,Snack,326.0,Food_2.csv
Orange,454,43.4,82.9,5.8,7.2,14.7,Fruits,440,125.0,Snack,970.0,Food_2.csv
Bread,199,6.2,52.4,9.0,6.3,1.1,Grains,676,246.0,Snack,454.0,Food_2.csv
Potato,444,28.6,77.5,9.6,1.7,6.9,Vegetables,698,61.0,Dinner,605.0,Food_2.csv
Chips,139,7.0,73.1,3.1,3.9,10.0,Snacks,768,275.0,Breakfast,428.0,Food_2.csv
Apple,121,8.7,55.9,10.3,1.1,26.0,Fruits,745,264.0,Lunch,159.0,Food_2.csv
Rice,287,2.2,91.8,31.5,9.1,26.9,Grains,592,250.0,Snack,334.0,Food_2.csv
Broccoli,541,6.7,87.7,4.4,0.8,41.8,Vegetables,187,104.0,Snack,211.0,Food_2.csv
Pasta,593,17.9,53.9,9.9,2.1,33.4,Grains,980,243.0,Lunch,277.0,Food_2.csv
Broccoli,311,21.3,67.6,5.8,7.6,44.3,Vegetables,328,161.0,Dinner,265.0,Food_2.csv
Bread,587,20.4,84.3,36.7,5.6,36.2,Grains,321,31.0,Lunch,308.0,Food_2.csv
Grapes,391,12.6,20.4,2.2,5.9,11.4,Fruits,10,130.0,Lunch,861.0,Food_2.csv
Bread,79,10.0,89.4,12.9,7.7,29.8,Grains,164,212.0,Dinner,387.0,Food_2.csv
Grapes,67,27.7,41.9,38.4,5.3,36.9,Fruits,459,247.0,Snack,671.0,Food_2.csv
Cheese,587,5.5,54.5,47.4,1.8,8.7,Dairy,41,55.0,Dinner,633.0,Food_2.csv
Butter,136,33.7,37.7,42.0,4.3,15.2,Dairy,540,117.0,Snack,789.0,Food_2.csv
Banana,561,45.4,56.8,31.8,8.2,35.5,Fruits,318,93.0,Lunch,364.0,Food_2.csv
Orange,447,9.0,40.7,34.6,7.8,40.1,Fruits,905,36.0,Snack,261.0,Food_2.csv
Milkshake,204,25.4,18.2,45.1,9.1,27.0,Beverages,46,292.0,Lunch,444.0,Food_2.csv
Water,570,39.6,83.5,16.8,8.0,44.6,Beverages,602,159.0,Lunch,228.0,Food_2.csv
Apple,521,18.6,46.2,36.0,3.6,27.6,Fruits,613,127.0,Lunch,193.0,Food_2.csv
Quinoa,481,29.2,12.5,9.7,7.6,34.5,Grains,42,120.0,Dinner,251.0,Food_2.csv
Nuts,369,38.2,16.8,4.1,6.9,4.1,Snacks,70,165.0,Dinner,686.0,Food_2.csv
Yogurt,568,2.3,11.8,16.2,5.0,22.7,Dairy,90,213.0,Dinner,353.0,Food_2.csv
Yogurt,172,6.9,25.7,29.1,7.2,45.5,Dairy,509,198.0,Lunch,100.0,Food_2.csv
Spinach,201,41.0,12.7,47.1,0.8,19.1,Vegetables,115,220.0,Snack,558.0,Food_2.csv
Green Tea,404,12.1,33.3,4.5,6.4,20.4,Beverages,127,162.0,Breakfast,187.0,Food_2.csv
Chocolate,531,20.0,12.3,30.3,9.9,38.1,Snacks,194,138.0,Breakfast,906.0,Food_2.csv
Spinach,115,8.7,6.7,35.1,4.7,26.0,Vegetables,261,85.0,Lunch,538.0,Food_2.csv
Salmon,59,36.3,13.9,26.9,5.7,8.8,Meat,916,64.0,Breakfast,269.0,Food_2.csv
Popcorn,481,38.6,36.8,12.2,8.1,22.2,Snacks,263,125.0,Lunch,829.0,Food_2.csv
Milkshake,328,6.8,85.3,17.0,8.1,40.8,Beverages,607,171.0,Snack,182.0,Food_2.csv
Banana,358,27.3,37.5,16.7,0.3,47.1,Fruits,703,98.0,Lunch,811.0,Food_2.csv
Eggs,530,43.6,18.1,10.5,7.1,1.0,Meat,26,255.0,Lunch,629.0,Food_2.csv
Eggs,95,37.2,81.9,20.7,6.1,19.8,Meat,722,275.0,Snack,219.0,Food_2.csv
Chocolate,384,7.1,96.4,40.0,6.5,20.2,Snacks,734,1.0,Lunch,144.0,Food_2.csv
Milkshake,103,30.2,70.8,42.0,4.6,8.4,Beverages,6,222.0,Breakfast,721.0,Food_2.csv
Carrot,289,14.0,52.9,17.1,2.9,6.5,Vegetables,53,98.0,Snack,839.0,Food_2.csv
Chocolate,551,35.6,13.8,4.0,8.2,21.5,Snacks,134,288.0,Snack,186.0,Food_2.csv
Oats,497,18.0,70.8,42.8,9.5,30.5,Grains,665,7.0,Snack,848.0,Food_2.csv
Milkshake,414,22.0,67.8,8.4,2.2,2.2,Beverages,648,159.0,Dinner,899.0,Food_2.csv
Spinach,205,1.1,10.5,28.1,6.4,21.8,Vegetables,937,44.0,Dinner,528.0,Food_2.csv
Salmon,574,20.4,92.9,35.0,3.9,44.0,Meat,49,32.0,Breakfast,246.0,Food_2.csv
Nuts,433,40.5,34.5,28.7,8.3,44.0,Snacks,957,280.0,Dinner,802.0,Food_2.csv
Banana,546,12.3,52.9,37.8,9.2,24.2,Fruits,183,137.0,Breakfast,421.0,Food_2.csv
Water,410,16.9,15.1,4.0,7.5,9.2,Beverages,10,57.0,Breakfast,888.0,Food_2.csv
Apple,79,18.1,74.7,19.7,0.2,46.6,Fruits,270,36.0,Dinner,671.0,Food_2.csv
Tomato,500,18.8,10.5,18.6,7.9,2.5,Vegetables,966,282.0,Breakfast,894.0,Food_2.csv
Grapes,425,25.3,83.8,7.4,8.6,25.1,Fruits,206,48.0,Dinner,233.0,Food_2.csv
Cookies,113,21.4,27.1,29.3,5.1,47.2,Snacks,304,163.0,Breakfast,132.0,Food_2.csv
Chocolate,185,2.4,71.1,34.1,3.1,41.3,Snacks,250,121.0,Breakfast,875.0,Food_2.csv
Water,559,26.3,63.2,33.1,4.1,5.6,Beverages,502,154.0,Breakfast,880.0,Food_2.csv
Eggs,482,37.1,27.2,11.9,7.7,22.0,Meat,173,234.0,Breakfast,901.0,Food_2.csv
Cookies,542,16.6,42.3,28.8,2.2,28.3,Snacks,700,99.0,Snack,768.0,Food_2.csv
Carrot,300,9.5,61.5,19.0,10.0,3.2,Vegetables,829,190.0,Lunch,291.0,Food_2.csv
Butter,485,26.2,34.1,17.9,0.7,12.5,Dairy,399,286.0,Breakfast,804.0,Food_2.csv
Orange Juice,71,6.7,90.0,31.2,2.6,22.0,Beverages,372,22.0,Dinner,672.0,Food_2.csv
Potato,181,43.1,87.1,38.2,2.7,18.4,Vegetables,76,266.0,Breakfast,669.0,Food_2.csv
Pork Chop,330,20.2,83.1,49.8,6.9,27.9,Meat,836,134.0,Snack,203.0,Food_2.csv
Chocolate,249,11.4,13.3,28.6,1.7,1.7,Snacks,535,269.0,Lunch,300.0,Food_2.csv
Spinach,224,41.5,78.3,24.6,6.9,17.7,Vegetables,70,126.0,Snack,189.0,Food_2.csv
Coffee,246,15.1,97.7,27.5,2.1,28.2,Beverages,367,261.0,Dinner,388.0,Food_2.csv
Beef Steak,499,26.9,25.2,26.7,7.1,21.0,Meat,645,40.0,Lunch,610.0,Food_2.csv
Paneer,194,6.2,80.8,32.6,8.9,21.6,Dairy,334,41.0,Dinner,297.0,Food_2.csv
Milk,194,17.4,59.6,46.6,6.1,24.0,Dairy,50,202.0,Lunch,323.0,Food_2.csv
Salmon,200,21.8,28.4,34.2,5.2,20.9,Meat,511,157.0,Dinner,393.0,Food_2.csv
Rice,244,10.6,74.4,34.2,0.1,41.5,Grains,668,170.0,Snack,570.0,Food_2.csv
Paneer,185,22.3,10.4,17.3,6.9,1.7,Dairy,993,121.0,Breakfast,567.0,Food_2.csv
Strawberry,219,25.9,65.9,17.3,7.3,14.9,Fruits,576,290.0,Lunch,489.0,Food_2.csv
Salmon,403,8.8,78.3,5.7,4.9,38.6,Meat,60,239.0,Snack,913.0,Food_2.csv
Grapes,214,10.9,86.3,2.6,1.4,40.3,Fruits,977,177.0,Breakfast,603.0,Food_2.csv
Apple,190,16.4,92.3,47.8,3.8,2.9,Fruits,870,80.0,Breakfast,958.0,Food_2.csv
Cookies,157,21.7,10.6,33.8,8.2,0.9,Snacks,822,85.0,Breakfast,806.0,Food_2.csv
Milkshake,550,49.2,88.3,12.2,0.1,32.3,Beverages,69,1.0,Lunch,192.0,Food_2.csv
Milkshake,319,32.4,86.4,46.9,5.5,17.4,Beverages,601,189.0,Snack,570.0,Food_2.csv
Popcorn,68,45.2,73.9,13.9,0.5,28.8,Snacks,275,242.0,Dinner,617.0,Food_2.csv
Banana,519,5.9,45.5,41.7,7.8,9.0,Fruits,319,283.0,Lunch,971.0,Food_2.csv
Carrot,570,39.2,35.6,13.0,4.3,0.6,Vegetables,539,59.0,Dinner,317.0,Food_2.csv
Cookies,406,30.3,95.8,42.4,2.6,44.0,Snacks,752,286.0,Breakfast,250.0,Food_2.csv
Orange Juice,589,11.2,16.5,43.0,9.4,15.6,Beverages,758,177.0,Dinner,449.0,Food_2.csv
Orange,60,34.9,9.3,22.7,7.3,27.8,Fruits,192,69.0,Breakfast,560.0,Food_2.csv
Green Tea,532,16.0,25.4,40.8,4.5,49.4,Beverages,505,191.0,Dinner,742.0,Food_2.csv
Apple,458,36.9,94.6,5.7,7.6,29.9,Fruits,498,246.0,Snack,612.0,Food_2.csv
