food_item,calories,proteins,carbohydrates,fats,fibers,sugars,category,sodium,cholesterol,meal_type,water_intake,source_file
3-ingredient Mac & Cheese,803.0,37.0,100.0,27.0,3.0,18.0,,,,,,Food_1.csv
Easy Beef And Broccoli,445.0,34.0,32.0,17.0,1.0,14.0,,,,,,Food_1.csv
Weekday Meal-Prep Pesto Chicken & Veggies,394.0,23.0,15.0,28.0,5.0,7.0,,,,,,Food_1.csv
Weekday Meal-prep Chicken Teriyaki Stir-fry,404.0,41.0,49.0,6.0,5.0,36.0,,,,,,Food_1.csv
Chocolate Hazelnut Mug Cakes,729.0,15.0,79.0,38.0,6.0,57.0,,,,,,Food_1.csv
Cookies and Cream Cheesecake Cookies,239.0,2.0,26.0,14.0,0.0,13.0,,,,,,Food_1.csv
Baked Churro Bites,43.0,1.0,4.0,2.0,0.0,0.0,,,,,,Food_1.csv
No-Bake Cookies and Cream Cheesecake,716.0,11.0,30.0,62.0,0.0,22.0,,,,,,Food_1.csv
Grilled Cheese,1897.0,69.0,312.0,42.0,13.0,27.0,,,,,,Food_1.csv
The Fluffiest Vegan Pancakes,157.0,3.0,32.0,1.0,1.0,4.0,,,,,,Food_1.csv
One Skillet Ground Beef Stroganoff,992.0,39.0,95.0,41.0,2.0,17.0,,,,,,Food_1.csv
One-Pot Taco Spaghetti,625.0,41.0,52.0,26.0,4.0,6.0,,,,,,Food_1.csv
Cacio e Pepe (Spaghetti with Cheese and Pepper),429.0,15.0,46.0,21.0,1.0,1.0,,,,,,Food_1.csv
Shrimp Spinach Bacon Alfredo,1413.0,82.0,102.0,81.0,4.0,9.0,,,,,,Food_1.csv
Asparagus-Stuffed Chicken Breast,209.0,35.0,2.0,5.0,1.0,0.0,,,,,,Food_1.csv
Eggs,173.0,42.4,83.7,1.5,1.5,12.7,Meat,752.0,125.0,Lunch,478.0,Food_2.csv
Apple,66.0,39.2,13.8,3.2,2.6,12.2,Fruits,680.0,97.0,Lunch,466.0,Food_2.csv
Chicken Breast,226.0,27.1,79.1,25.8,3.2,44.7,Meat,295.0,157.0,Breakfast,635.0,Food_2.csv
Banana,116.0,43.4,47.1,16.1,6.5,44.1,Fruits,307.0,13.0,Snack,379.0,Food_2.csv
Oats,387.0,31.2,6.8,39.5,5.1,0.7,Grains,300.0,244.0,Dinner,727.0,Food_2.csv
Carrot,138.0,28.2,12.4,20.2,2.8,37.8,Vegetables,933.0,15.0,Dinner,733.0,Food_2.csv
Cookies,69.0,36.8,17.8,15.0,9.6,36.4,Snacks,185.0,228.0,Snack,386.0,Food_2.csv
Quinoa,204.0,19.3,62.7,31.8,6.8,40.3,Grains,887.0,135.0,Snack,662.0,Food_2.csv
Tomato,117.0,34.4,21.0,10.1,9.1,18.5,Vegetables,66.0,180.0,Dinner,799.0,Food_2.csv
Orange Juice,147.0,20.1,32.7,8.9,7.0,42.4,Beverages,500.0,250.0,Snack,661.0,Food_2.csv
Beef Steak,157.0,27.5,32.4,9.4,0.5,24.6,Meat,180.0,68.0,Lunch,724.0,Food_2.csv
Pork Chop,385.0,15.8,36.5,33.1,2.1,27.6,Meat,134.0,88.0,Lunch,421.0,Food_2.csv
Grapes,274.0,42.4,54.5,45.2,8.2,20.3,Fruits,507.0,76.0,Breakfast,463.0,Food_2.csv
Milkshake,353.0,24.0,96.2,6.8,0.9,17.5,Beverages,305.0,17.0,Lunch,618.0,Food_2.csv
Pasta,217.0,28.1,8.3,38.9,3.7,43.2,Grains,653.0,176.0,Dinner,224.0,Food_2.csv
Orange,222.0,21.1,85.0,45.1,1.7,46.8,Fruits,422.0,260.0,Snack,876.0,Food_2.csv
Nuts,552.0,25.9,27.4,39.2,1.5,47.3,Snacks,338.0,292.0,Breakfast,751.0,Food_2.csv
Cheese,252.0,18.0,24.9,31.0,8.2,43.6,Dairy,744.0,110.0,Breakfast,244.0,Food_2.csv
Strawberry,141.0,19.0,93.3,11.8,5.7,20.0,Fruits,970.0,263.0,Lunch,967.0,Food_2.csv
Butter,315.0,37.8,25.5,15.6,1.2,1.0,Dairy,555.0,119.0,Breakfast,863.0,Food_2.csv
Rice,142.0,14.6,21.9,41.4,2.7,46.5,Grains,947.0,48.0,Lunch,868.0,Food_2.csv
Yogurt,568.0,27.5,63.4,25.4,1.6,9.5,Dairy,360.0,20.0,Snack,927.0,Food_2.csv
Broccoli,219.0,32.6,49.5,30.3,9.4,23.5,Vegetables,771.0,138.0,Dinner,663.0,Food_2.csv
Water,171.0,47.4,80.3,10.1,9.0,44.3,Beverages,525.0,264.0,Breakfast,985.0,Food_2.csv
Paneer,173.0,22.1,59.4,30.1,5.2,12.4,Dairy,424.0,10.0,Snack,986.0,Food_2.csv
Salmon,508.0,5.3,70.4,40.3,6.1,47.2,Meat,423.0,230.0,Snack,470.0,Food_2.csv
Milk,282.0,30.3,69.7,21.5,5.4,39.9,Dairy,731.0,263.0,Dinner,491.0,Food_2.csv
Coffee,484.0,29.7,70.2,37.9,8.6,32.7,Beverages,569.0,176.0,Lunch,269.0,Food_2.csv
Spinach,282.0,12.0,54.0,6.6,2.2,29.4,Vegetables,198.0,81.0,Lunch,332.0,Food_2.csv
Potato,161.0,30.4,72.8,31.4,7.3,38.4,Vegetables,934.0,62.0,Snack,569.0,Food_2.csv
Green Tea,425.0,23.1,30.9,9.2,8.2,36.4,Beverages,201.0,145.0,Lunch,101.0,Food_2.csv
Bread,467.0,4.5,95.5,49.5,8.9,28.9,Grains,577.0,273.0,Dinner,891.0,Food_2.csv
Chocolate,153.0,46.7,91.0,45.0,7.0,49.7,Snacks,494.0,38.0,Lunch,751.0,Food_2.csv
Chips,365.0,29.1,67.1,28.2,4.8,41.3,Snacks,810.0,4.0,Dinner,652.0,Food_2.csv
Popcorn,481.0,38.6,36.8,12.2,8.1,22.2,Snacks,263.0,125.0,Lunch,829.0,Food_2.csv
Andrea'S,257.0,5.7,40.2,,2.9,3.0,,544.0,,,,Food_3.csv
Archway,497.0,4.3,65.0,,2.0,34.1,,270.0,,,,Food_3.csv
Artificial,407.0,4.7,77.5,,3.33,19.0,,760.0,,,,Food_3.csv
Austin,494.0,7.5,60.0,,1.3,13.5,,900.0,,,,Food_3.csv
Bagels,274.0,9.8,55.2,,2.3,6.0,,344.0,,,,Food_3.csv
Barbara Dee,515.0,3.9,67.1,,2.0,35.8,,290.0,,,,Food_3.csv
Bear Naked,423.0,6.6,66.9,,7.0,35.2,,200.0,,,,Food_3.csv
Biscuits,263.0,6.1,47.4,,3.33,19.0,,670.0,,,,Food_3.csv
Breakfast Tart,372.0,4.0,76.8,,1.5,4.9,,361.0,,,,Food_3.csv
Cake,324.0,2.9,61.6,,3.7,27.4,,101.0,,,,Food_3.csv
Cheesecake,274.0,5.5,35.5,,1.9,19.0,,380.0,,,,Food_3.csv
Cinnamon Buns,452.0,4.5,48.6,,1.2,25.7,,305.0,,,,Food_3.csv
Crackers,383.0,9.3,80.9,,2.6,0.3,,16.0,,,,Food_3.csv
Cream Puff ,360.0,9.0,22.8,,0.8,0.3,,483.0,,,,Food_3.csv
Cream Puff,334.0,4.4,37.4,,0.9,22.1,,265.0,,,,Food_3.csv
Croutons,407.0,11.9,73.5,,5.1,19.0,,698.0,,,,Food_3.csv
Crunchmaster,456.0,10.9,67.2,,7.5,0.8,,370.0,,,,Food_3.csv
Danish Pastry,374.0,8.0,37.2,,1.0,7.0,,417.0,,,,Food_3.csv
Doughnuts,417.0,4.5,57.4,,2.2,31.9,,215.0,,,,Food_3.csv
English Muffins,235.0,9.1,46.3,,2.8,0.8,,298.0,,,,Food_3.csv
Famous Amos,503.0,4.5,67.7,,2.8,32.4,,359.0,,,,Food_3.csv
Focaccia,249.0,8.8,35.8,,1.8,1.8,,561.0,,,,Food_3.csv
French Toast,213.0,7.4,32.1,,1.1,19.0,,495.0,,,,Food_3.csv
General Mills,413.0,3.8,81.3,,3.33,43.9,,672.0,,,,Food_3.csv
George Weston Bakeries,390.0,13.3,72.7,,5.4,19.0,,1680.0,,,,Food_3.csv
Girl Scouts,520.0,5.1,64.8,,1.3,29.6,,225.0,,,,Food_3.csv
Glutino,474.0,2.2,76.0,,2.5,49.0,,275.0,,,,Food_3.csv
Hush Puppies,337.0,7.7,46.0,,2.8,2.0,,668.0,,,,Food_3.csv
Ice Cream Cones,417.0,8.1,79.0,,3.0,6.0,,256.0,,,,Food_3.csv
Interstate Brands Corp,273.0,8.1,50.8,,2.6,11.1,,488.0,,,,Food_3.csv
Jackson'S,469.0,5.7,71.7,,1.4,31.6,,334.0,,,,Food_3.csv
Kashi,192.0,5.7,34.6,,9.0,4.6,,476.0,,,,Food_3.csv
Keebler,452.0,4.7,77.7,,3.1,40.3,,441.0,,,,Food_3.csv
Keikitos (Muffins),467.0,6.8,53.2,,1.2,25.8,,515.0,,,,Food_3.csv
Kellogg'S,208.0,6.0,42.7,,3.5,8.9,,591.0,,,,Food_3.csv
Kraft,377.0,6.1,79.8,,3.33,19.0,,2182.0,,,,Food_3.csv
Leavening Agents,53.0,0.0,27.7,,0.2,0.0,,10600.0,,,,Food_3.csv
Martha White Foods,388.0,7.8,59.4,,1.5,4.5,,1295.0,,,,Food_3.csv
Mary'S Gone Crackers,446.0,12.1,64.3,,16.2,1.0,,587.0,,,,Food_3.csv
Mckee Baking,548.0,8.0,55.2,,3.33,34.0,,223.0,,,,Food_3.csv
Mission Foods,287.0,8.7,49.6,,3.33,19.0,,898.0,,,,Food_3.csv
Mother'S,487.0,3.8,68.3,,0.8,44.2,,192.0,,,,Food_3.csv
Muffins,375.0,4.5,53.0,,1.1,31.5,,336.0,,,,Food_3.csv
Murray,473.0,4.9,71.3,,2.2,38.4,,507.0,,,,Food_3.csv
Nabisco,424.0,7.0,76.2,,3.4,23.0,,659.0,,,,Food_3.csv
Pancakes,233.0,5.2,37.8,,1.0,8.3,,461.0,,,,Food_3.csv
Pastry,379.0,5.5,47.8,,2.2,17.0,,231.0,,,,Food_3.csv
Pepperidge Farm,257.0,0.0,43.2,,5.9,5.1,,371.0,,,,Food_3.csv
Pie Crust,484.0,6.1,64.5,,2.7,26.3,,503.0,,,,Food_3.csv
Pie,237.0,1.9,34.0,,1.6,15.7,,201.0,,,,Food_3.csv
Pillsbury,307.0,5.9,41.2,,1.2,5.9,,1059.0,,,,Food_3.csv
Puff Pastry,551.0,7.3,45.1,,1.5,0.7,,249.0,,,,Food_3.csv
Rolls,307.0,9.5,52.0,,3.7,4.3,,566.0,,,,Food_3.csv
Rudi'S,320.0,3.1,52.8,,3.5,8.4,,528.0,,,,Food_3.csv
Sage Valley,499.0,3.1,71.9,,1.0,43.9,,212.0,,,,Food_3.csv
Schar,239.0,3.3,50.5,,5.1,6.9,,593.0,,,,Food_3.csv
Strudel,274.0,3.3,41.1,,2.2,25.8,,135.0,,,,Food_3.csv
Sunshine,473.0,8.5,65.3,,3.1,2.7,,1338.0,,,,Food_3.csv
Sweet Rolls,360.0,7.1,43.7,,1.2,19.0,,357.0,,,,Food_3.csv
Taco Shells,476.0,6.4,63.5,,6.7,1.5,,324.0,,,,Food_3.csv
Toaster Pastries,370.0,4.1,72.6,,2.3,27.2,,361.0,,,,Food_3.csv
Tortillas,218.0,5.7,44.6,,6.3,0.9,,45.0,,,,Food_3.csv
Udi'S,310.0,8.0,55.1,,3.6,9.5,,707.0,,,,Food_3.csv
Usda Commodity,400.0,8.5,62.5,,7.1,19.0,,1410.0,,,,Food_3.csv
Van'S,215.0,3.3,40.3,,1.5,4.1,,331.0,,,,Food_3.csv
Waffles,289.0,6.9,44.2,,2.4,4.5,,663.0,,,,Food_3.csv
Wonton Wrappers,291.0,9.8,57.9,,1.8,19.0,,572.0,,,,Food_3.csv
"BUTTER,WITH SALT",717.0,0.85,0.06,81.11,0.0,0.06,,643.0,215.0,,,Food_4.csv
"BUTTER,WHIPPED,W/ SALT",718.0,0.49,2.87,78.3,0.0,0.06,,583.0,225.0,,,Food_4.csv
"BUTTER OIL,ANHYDROUS",876.0,0.28,0.0,99.48,0.0,0.0,,2.0,256.0,,,Food_4.csv
"CHEESE,BLUE",353.0,21.4,2.34,28.74,0.0,0.5,,1146.0,75.0,,,Food_4.csv
"CHEESE,BRICK",371.0,23.24,2.79,29.68,0.0,0.51,,560.0,94.0,,,Food_4.csv
"CHEESE,BRIE",334.0,20.75,0.45,27.68,0.0,0.45,,629.0,100.0,,,Food_4.csv
"CHEESE,CAMEMBERT",300.0,19.8,0.46,24.26,0.0,0.46,,842.0,72.0,,,Food_4.csv
"CHEESE,CARAWAY",376.0,25.18,3.06,29.2,0.0,,,690.0,93.0,,,Food_4.csv
"CHEESE,CHEDDAR",404.0,22.87,3.09,33.31,0.0,0.48,,653.0,99.0,,,Food_4.csv
"CHEESE,CHESHIRE",387.0,23.37,4.78,30.6,0.0,,,700.0,103.0,,,Food_4.csv
"CHEESE,COLBY",394.0,23.76,2.57,32.11,0.0,0.52,,604.0,95.0,,,Food_4.csv
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98.0,11.12,3.38,4.3,0.0,2.67,,364.0,17.0,,,Food_4.csv
"CHEESE,COTTAGE,CRMD,W/FRUIT",97.0,10.69,4.61,3.85,0.2,2.38,,344.0,13.0,,,Food_4.csv
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72.0,10.34,6.66,0.29,0.0,1.85,,372.0,7.0,,,Food_4.csv
"CHEESE,CREAM",350.0,6.15,5.52,34.44,0.0,3.76,,314.0,101.0,,,Food_4.csv
"CHEESE,EDAM",357.0,24.99,1.43,27.8,0.0,1.43,,812.0,89.0,,,Food_4.csv
"CHEESE,FETA",264.0,14.21,4.09,21.28,0.0,4.09,,917.0,89.0,,,Food_4.csv
"CHEESE,FONTINA",389.0,25.6,1.55,31.14,0.0,1.55,,800.0,116.0,,,Food_4.csv
"CHEESE,GJETOST",466.0,9.65,42.65,29.51,0.0,,,600.0,94.0,,,Food_4.csv
"CHEESE,GOUDA",356.0,24.94,2.22,27.44,0.0,2.22,,819.0,114.0,,,Food_4.csv
"CHEESE,GRUYERE",413.0,29.81,0.36,32.34,0.0,0.36,,714.0,110.0,,,Food_4.csv
"CHEESE,LIMBURGER",327.0,20.05,0.49,27.25,0.0,0.49,,800.0,90.0,,,Food_4.csv
"CHEESE,MONTEREY",373.0,24.48,0.68,30.28,0.0,0.5,,600.0,89.0,,,Food_4.csv
"CHEESE,MOZZARELLA,WHL MILK",300.0,22.17,2.19,22.35,0.0,1.03,,627.0,79.0,,,Food_4.csv
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318.0,21.6,2.47,24.64,0.0,1.01,,710.0,89.0,,,Food_4.csv
"CHEESE,MOZZARELLA,PART SKIM MILK",254.0,24.26,2.77,15.92,0.0,1.13,,619.0,64.0,,,Food_4.csv
"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",295.0,23.75,5.58,19.78,0.0,1.9,,666.0,64.0,,,Food_4.csv
"CHEESE,MUENSTER",368.0,23.41,1.12,30.04,0.0,1.12,,628.0,96.0,,,Food_4.csv
"CHEESE,NEUFCHATEL",253.0,9.15,3.59,22.78,0.0,3.19,,334.0,74.0,,,Food_4.csv
"CHEESE,PARMESAN,GRATED",420.0,28.42,13.91,27.84,0.0,0.07,,1804.0,86.0,,,Food_4.csv
"CHEESE,PARMESAN,HARD",392.0,35.75,3.22,25.83,0.0,0.8,,1376.0,68.0,,,Food_4.csv
"CHEESE,PORT DE SALUT",352.0,23.78,0.57,28.2,0.0,0.57,,534.0,123.0,,,Food_4.csv
"CHEESE,PROVOLONE",351.0,25.58,2.14,26.62,0.0,0.56,,876.0,69.0,,,Food_4.csv
"CHEESE,RICOTTA,WHOLE MILK",174.0,11.26,3.04,12.98,0.0,0.27,,84.0,51.0,,,Food_4.csv
"CHEESE,RICOTTA,PART SKIM MILK",138.0,11.39,5.14,7.91,0.0,0.31,,99.0,31.0,,,Food_4.csv
"CHEESE,ROMANO",387.0,31.8,3.63,26.94,0.0,0.73,,1433.0,104.0,,,Food_4.csv
"CHEESE,ROQUEFORT",369.0,21.54,2.0,30.64,0.0,,,1809.0,90.0,,,Food_4.csv
"CHEESE,SWISS",393.0,26.96,1.44,30.99,0.0,0.0,,187.0,93.0,,,Food_4.csv
"CHEESE,TILSIT",340.0,24.41,1.88,25.98,0.0,,,753.0,102.0,,,Food_4.csv
"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",366.0,18.13,4.78,30.71,0.0,2.26,,1671.0,100.0,,,Food_4.csv
"CHEESE,PAST PROCESS,PIMENTO",375.0,22.13,1.73,31.2,0.1,0.62,,915.0,94.0,,,Food_4.csv
"CHEESE,PAST PROCESS,SWISS",334.0,24.73,2.1,25.01,0.0,1.23,,1370.0,85.0,,,Food_4.csv
"CHEESE FD,COLD PK,AMERICAN",331.0,19.66,8.32,24.46,0.0,,,966.0,64.0,,,Food_4.csv
"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",330.0,16.86,8.56,25.63,0.0,5.59,,1284.0,98.0,,,Food_4.csv
"CHEESE FD,PAST PROCESS,SWISS",323.0,21.92,4.5,24.14,0.0,,,1552.0,82.0,,,Food_4.csv
"CHEESE SPRD,PAST PROCESS,AMERICAN",290.0,16.41,8.73,21.23,0.0,7.32,,1625.0,55.0,,,Food_4.csv
"CREAM,FLUID,HALF AND HALF",123.0,3.13,4.73,10.39,0.0,4.13,,61.0,35.0,,,Food_4.csv
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",191.0,2.96,2.82,19.1,0.0,3.67,,72.0,59.0,,,Food_4.csv
"CREAM,FLUID,LT WHIPPING",292.0,2.17,2.96,30.91,0.0,2.96,,34.0,111.0,,,Food_4.csv
"CREAM,FLUID,HVY WHIPPING",340.0,2.84,2.74,36.08,0.0,2.92,,27.0,113.0,,,Food_4.csv
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257.0,3.2,12.49,22.22,0.0,8.0,,8.0,76.0,,,Food_4.csv
"CREAM,SOUR,RED FAT,CULTURED",135.0,2.94,4.26,12.0,0.0,0.16,,89.0,39.0,,,Food_4.csv
"CREAM,SOUR,CULTURED",198.0,2.44,4.63,19.35,0.0,3.41,,31.0,59.0,,,Food_4.csv
EGGNOG,88.0,4.55,8.05,4.19,0.0,8.05,,54.0,59.0,,,Food_4.csv
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178.0,3.25,4.68,16.57,0.0,4.68,,48.0,5.0,,,Food_4.csv
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",63.0,3.33,4.74,3.46,0.0,,,57.0,2.0,,,Food_4.csv
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63.0,3.33,4.74,3.4,0.0,4.74,,57.0,2.0,,,Food_4.csv
"CHEESE,AMERICAN,NONFAT OR FAT FREE",126.0,21.05,10.53,0.0,0.0,5.26,,1316.0,26.0,,,Food_4.csv
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136.0,1.0,11.38,9.97,0.0,11.38,,67.0,0.0,,,Food_4.csv
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136.0,1.0,11.38,9.97,0.0,,,79.0,0.0,,,Food_4.csv
"CREAM SUBSTITUTE,POWDERED",529.0,2.48,59.29,32.92,0.0,7.77,,124.0,0.0,,,Food_4.csv
"DESSERT TOPPING,POWDERED",577.0,4.9,52.54,39.92,0.0,52.54,,122.0,0.0,,,Food_4.csv
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194.0,3.61,17.13,12.72,0.0,17.13,,66.0,10.0,,,Food_4.csv
"DESSERT TOPPING,PRESSURIZED",264.0,0.98,16.07,22.3,0.0,16.07,,62.0,0.0,,,Food_4.csv
"DESSERT TOPPING,SEMI SOLID,FRZ",318.0,1.25,23.05,25.31,0.0,23.05,,25.0,0.0,,,Food_4.csv
"SOUR CRM,IMITN,CULTURED",208.0,2.4,6.63,19.52,0.0,6.63,,102.0,0.0,,,Food_4.csv
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61.0,1.75,6.16,3.41,0.0,,,78.0,0.0,,,Food_4.csv
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,4.96,0.08,0.0,5.09,,42.0,2.0,,,Food_4.csv
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37.0,3.57,5.02,0.25,0.0,5.02,,53.0,2.0,,,Food_4.csv
"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41.0,3.96,5.56,0.25,0.0,,,59.0,2.0,,,Food_4.csv
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40.0,3.31,4.79,0.88,0.0,4.79,,190.0,4.0,,,Food_4.csv
"MILK,LO NA,FLUID",61.0,3.1,4.46,3.46,0.0,4.46,,3.0,14.0,,,Food_4.csv
"MILK,DRY,WHL,W/ ADDED VITAMIN D",496.0,26.32,38.42,26.71,0.0,38.42,,371.0,97.0,,,Food_4.csv
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362.0,36.16,51.98,0.77,0.0,51.98,,535.0,20.0,,,Food_4.csv
"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358.0,35.1,52.19,0.72,0.0,52.19,,549.0,18.0,,,Food_4.csv
"MILK,DRY,NONFAT,CA RED",354.0,35.5,51.8,0.2,0.0,,,2280.0,2.0,,,Food_4.csv
"MILK,BUTTERMILK,DRIED",387.0,34.3,49.0,5.78,0.0,49.0,,517.0,69.0,,,Food_4.csv
"MILK,CND,COND,SWTND",321.0,7.91,54.4,8.7,0.0,54.4,,127.0,34.0,,,Food_4.csv
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134.0,6.81,10.04,7.56,0.0,10.04,,106.0,29.0,,,Food_4.csv
"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78.0,7.55,11.35,0.2,0.0,11.35,,115.0,4.0,,,Food_4.csv
"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83.0,3.17,10.34,3.39,0.8,9.54,,60.0,12.0,,,Food_4.csv
"MILK,CHOC,FLUID,COMM,RED FAT",76.0,2.99,12.13,1.9,0.7,9.55,,66.0,8.0,,,Food_4.csv
"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",62.0,3.46,9.86,1.0,0.1,9.94,,65.0,5.0,,,Food_4.csv
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77.0,3.52,10.74,2.34,1.0,9.66,,44.0,8.0,,,Food_4.csv
"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69.0,3.56,4.45,4.14,0.0,4.45,,50.0,11.0,,,Food_4.csv
"MILK,HUMAN,MATURE,FLUID",70.0,1.03,6.89,4.38,0.0,6.89,,17.0,14.0,,,Food_4.csv
"MILK,INDIAN BUFFALO,FLUID",97.0,3.75,5.18,6.89,0.0,,,52.0,19.0,,,Food_4.csv
"MILK,SHEEP,FLUID",108.0,5.98,5.36,7.0,0.0,,,44.0,27.0,,,Food_4.csv
"MILK SHAKES,THICK CHOC",119.0,3.05,21.15,2.7,0.3,20.85,,111.0,11.0,,,Food_4.csv
"MILK SHAKES,THICK VANILLA",112.0,3.86,17.75,3.03,0.0,17.75,,95.0,12.0,,,Food_4.csv
"WHEY,ACID,FLUID",24.0,0.76,5.12,0.09,0.0,5.12,,48.0,1.0,,,Food_4.csv
"WHEY,ACID,DRIED",339.0,11.73,73.45,0.54,0.0,73.45,,968.0,3.0,,,Food_4.csv
"WHEY,SWEET,FLUID",27.0,0.85,5.14,0.36,0.0,5.14,,54.0,2.0,,,Food_4.csv
"WHEY,SWEET,DRIED",353.0,12.93,74.46,1.07,0.0,74.46,,1079.0,6.0,,,Food_4.csv
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61.0,3.47,4.66,3.25,0.0,4.66,,46.0,13.0,,,Food_4.csv
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63.0,5.25,7.04,1.55,0.0,7.04,,70.0,6.0,,,Food_4.csv
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56.0,5.73,7.68,0.18,0.0,7.68,,77.0,2.0,,,Food_4.csv
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85.0,4.93,13.8,1.25,0.0,13.8,,66.0,5.0,,,Food_4.csv
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99.0,3.98,18.64,1.15,0.0,18.64,,53.0,5.0,,,Food_4.csv
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102.0,4.37,19.05,1.08,0.0,19.05,,58.0,4.0,,,Food_4.csv
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105.0,4.86,18.6,1.41,0.0,,,65.0,6.0,,,Food_4.csv
"EGG,WHL,RAW,FRSH",143.0,12.56,0.72,9.51,0.0,0.37,,142.0,372.0,,,Food_4.csv
"EGG,WHITE,RAW,FRESH",52.0,10.9,0.73,0.17,0.0,0.71,,166.0,0.0,,,Food_4.csv
